Region,Año,Mes,precipitacion,evaporacion,temperaturaMax,temperaturaMin
Region 2,2013,3,0,197.2773333,26.076,5.458153333
Region 2,2014,3,1.371428571,189.7592308,27.235,6.306785714
Region 2,2015,3,84.26666667,132.9226667,23.3412,7.228246667
Region 2,2016,3,13.7,177.3842857,25.25926667,6.151226667
Region 2,2017,3,4.464285714,183.5315385,27.60328571,7.544835714
Region 2,2018,3,0,193.6946154,29.0145,7.475
Region 2,2019,3,0.615384615,207.8409091,28.61361538,7.955223077
Region 2,2020,3,4.107142857,190.6018182,29.30307143,9.597735714
Region 2,2021,3,0,240.46375,30.80933333,7.50465
Region 2,2000,4,0.071428571,225.0878571,29.83178571,9.421192857
Region 2,2001,4,16.52666667,213.5546154,30.18406667,10.64536667
Region 2,2002,4,4.84,218.235,30.22086667,11.14366
Region 2,2003,4,0.146666667,236.6814286,29.59746667,10.29876667
Region 2,2004,4,2.166666667,214.5226667,27.7996,8.703146667
Region 2,2005,4,0,243.6723077,30.06635714,9.233278571
Region 2,2006,4,2.506666667,245.4976923,31.56757143,9.5486
Region 2,2007,4,2.426666667,221.7692308,28.51233333,8.816573333
Region 2,2008,4,8.713333333,239.5028571,30.60633333,9.156633333
Region 2,2009,4,1.34,246.6707143,27.71857333,8.20168
Region 2,2010,4,0.433333333,224.0186667,27.71266667,8.00646
Region 2,2011,4,0.066666667,255.2228571,30.304,9.699913333
Region 2,2012,4,0,242.6525,28.86292308,8.116542857
Region 2,2013,4,0,256.855,29.5908,8.633
Region 2,2014,4,0.2,228.1233333,29.54313333,9.298813333
Region 2,2015,4,8.826666667,156.0678571,27.72006667,10.54437333
Region 2,2016,4,2.278571429,219.6825,29.09564286,8.914214286
Region 2,2017,4,0.307692308,238.2872727,29.84014286,8.465428571
Region 2,2018,4,5.185714286,218.4723077,29.60742857,9.13205
Region 2,2019,4,0,222.955,30.17853571,8.576585714
Region 2,2020,4,1.833333333,258.9390909,30.336,10.28310714
Region 2,2021,4,3.328571429,259.6155556,30.93057143,9.23205
Region 2,2000,5,100.6571429,233.9278571,30.58014286,11.75182857
Region 2,2001,5,16.44,207.7892857,30.20926667,12.47707333
Region 2,2002,5,27.12142857,220.6161538,31.071,13.18385714
Region 2,2003,5,13.68666667,258.0421429,32.1554,12.09754
Region 2,2004,5,51.68,195.35,29.02853333,11.46510667
Region 2,2005,5,8.306666667,253.585,30.8025,10.83028571
Region 2,2006,5,29.82142857,227.2083333,31.01923077,10.73273846
Region 2,2007,5,5.173333333,244.1508333,30.77835714,11.00438571
Region 2,2008,5,8.826666667,248.5253846,30.55157143,11.75191429
Region 2,2009,5,26.56,232.8821429,30.58653333,12.02644
Region 2,2010,5,5.693333333,254.3466667,31.921,11.09221333
Region 2,2011,5,4.233333333,277.9428571,31.9382,11.58459333
Region 2,2012,5,10.36666667,262.9984615,31.1276,11.78219333
Region 2,2013,5,8.942857143,251.3369231,30.87271429,11.39119286
Region 2,2014,5,46.26666667,192.1992857,29.05346667,12.00813333
Region 2,2015,5,30.02,182.5826667,29.55286667,11.50724
Region 2,2016,5,8.084615385,245.93,31.77061538,12.2515
Region 2,2017,5,4.707142857,265.5245455,32.01061538,11.6857
Region 2,2018,5,43.65384615,193.6846154,29.93461538,12.53194615
Region 2,2019,5,4.642857143,258.3616667,31.04335714,10.84339286
Region 2,2020,5,14.02857143,246.777,30.342,11.60988571
Region 2,2021,5,22.87142857,242.4444444,31.15221429,11.64570714
Region 2,2000,6,136.2615385,195.6028571,28.7045,12.73895
Region 2,2001,6,83.29333333,171.922,29.25746667,13.1396
Region 2,2002,6,50.87142857,187.9784615,29.21042857,13.64842857
Region 2,2003,6,142.66,192.4385714,29.3386,12.76752667
Region 2,2004,6,184.1666667,147.4566667,27.60526667,12.48308667
Region 2,2005,6,31.41333333,242.3523077,31.83535714,12.60461429
Region 2,2006,6,41.16428571,199.9907692,29.59121429,11.82227857
Region 2,2007,6,246.1533333,176.685,28.90214286,12.91285714
Region 2,2008,6,97.16923077,185.1569231,29.51115385,13.70353846
Region 2,2009,6,108.22,184.5346154,27.83106667,13.71764
Region 2,2010,6,56.34,210.1246667,30.66633333,13.31630667
Region 2,2011,6,42.30733333,230.8714286,30.4074,13.38734667
Region 2,2012,6,68.46,212.7976923,29.86186667,12.86070667
Region 2,2013,6,89.38,210.5507692,29.55513333,13.32055333
Region 2,2014,6,139.9142857,175.795,27.80421429,13.90923571
Region 2,2015,6,216.1933333,151.0121429,26.98006667,13.47875333
Region 2,2016,6,100.4285714,197.2690909,28.395,12.88664286
Region 2,2017,6,63.17142857,231.539,31.46392857,14.50573571
Region 2,2018,6,243.9,175.0308333,27.53561538,13.67646154
Region 2,2019,6,57.6,189.57,32.277,13.73787857
Region 2,2020,6,83.3,193.513,29.3945,13.91873571
Region 2,2021,6,125.3076923,168.88,27.97692308,13.88086923
Region 2,2000,7,99.94,195.192,28.41633333,11.54591333
Region 2,2001,7,168.7,157.2321429,28.5038,13.03844667
Region 2,2002,7,203.1642857,136.5035714,26.61235714,13.34180714
Region 2,2003,7,227.56,158.218,26.99513333,12.40086667
Region 2,2004,7,123.4533333,152.4257143,26.80513333,11.90608
Region 2,2005,7,126,179.5646154,27.37507143,12.68977143
Region 2,2006,7,112.0357143,155.4769231,27.84314286,12.53260714
Region 2,2007,7,197.2466667,143.07,25.96264286,12.47542143
Region 2,2008,7,245.1928571,142.1371429,25.738,12.63093571
Region 2,2009,7,76.24285714,176.8964286,27.41664286,12.87174286
Region 2,2010,7,174.7,139.4946667,25.78526667,13.64798
Region 2,2011,7,56.74,178.1315385,27.29426667,13.32547333
Region 2,2012,7,183.1066667,152.4323077,26.0768,12.13017333
Region 2,2013,7,237.1066667,144.716,25.55666667,12.93067333
Region 2,2014,7,111.96,162.3946667,26.55526667,12.82422
Region 2,2015,7,131.3,138.5264286,26.14473333,12.68592
Region 2,2016,7,238.4928571,169.3184615,26.68957143,12.81068571
Region 2,2017,7,209.1285714,160.6666667,26.86014286,13.55714286
Region 2,2018,7,108.3692308,174.5990909,27.382,12.29843077
Region 2,2019,7,127.8866667,161.1541667,27.95426667,12.61331333
Region 2,2020,7,172.8071429,171.733,27.23628571,13.18629286
Region 2,2021,7,204.5,149.88125,26.02209091,13.93943636
Region 2,2000,8,85.98666667,199.0973333,28.079,11.90172
Region 2,2001,8,137.44,157.7678571,27.26073333,12.66194
Region 2,2002,8,123.55,158.1078571,26.99492857,12.95922143
Region 2,2003,8,141.96,146.118,26.9748,12.34900667
Region 2,2004,8,138.6333333,148.1942857,26.40766667,12.11270667
Region 2,2005,8,164.42,142.69,25.14585714,11.94097143
Region 2,2006,8,178.6214286,134.2278571,25.85407143,12.46514286
Region 2,2007,8,104.8466667,142.4493333,26.17206667,12.19350667
Region 2,2008,8,272.1466667,136.6553333,26.0458,13.04263333
Region 2,2009,8,107.96,179.63,27.435,12.84805333
Region 2,2010,8,103.7266667,166.834,27.75346667,13.01794667
Region 2,2011,8,70.15333333,179.9071429,28.21886667,12.80504
Region 2,2012,8,119.0066667,147.4135714,26.605,12.44968
Region 2,2013,8,76.74666667,150.3213333,26.72226667,12.18518
Region 2,2014,8,102.1866667,162.5935714,27.13473333,12.69852
Region 2,2015,8,133.1333333,155.794,26.8162,12.40048
Region 2,2016,8,210.9153846,141.37,25.49469231,13.87809231
Region 2,2017,8,169.1,155.485,27.46614286,13.68742857
Region 2,2018,8,112.0142857,141.4625,27.06257143,12.53046429
Region 2,2019,8,154.6466667,169.2791667,27.9672,12.72345333
Region 2,2020,8,88.73571429,146.7363636,26.76428571,13.34558571
Region 2,2021,8,142.57,160.43,27.2642,13.19958
Region 2,2000,9,50.01333333,174.9326667,27.70633333,11.88297333
Region 2,2001,9,129.4333333,138.3335714,26.25846667,12.21988
Region 2,2002,9,157.94,129.0926667,25.92273333,12.58852667
Region 2,2003,9,146.4533333,118.6253333,26.21186667,13.05202
Region 2,2004,9,154.1666667,119.5038462,25.22073333,12.14559333
Region 2,2005,9,63.94666667,152.0338462,25.56271429,10.90455714
Region 2,2006,9,119.5933333,116.5735714,24.49746667,12.27752667
Region 2,2007,9,56.06666667,131.0893333,26.81066667,11.23305333
Region 2,2008,9,89.08666667,125.9166667,24.75413333,12.39521333
Region 2,2009,9,98.5,123.9607143,26.09964286,13.0735
Region 2,2010,9,125.3,135.6913333,26.5474,12.97862
Region 2,2011,9,74.14666667,149.9113333,26.70053333,11.27533333
Region 2,2012,9,60.56666667,120.8293333,25.98833333,10.94998667
Region 2,2013,9,151.9933333,93.76642857,24.81371429,12.86511429
Region 2,2014,9,123.1642857,128.6092308,25.72171429,12.81561429
Region 2,2015,9,102.9071429,123.7042857,26.44128571,12.6474
Region 2,2016,9,55.26153846,130.9108333,26.16630769,12.61127692
Region 2,2017,9,130.4214286,124.2025,25.63885714,12.76275714
Region 2,2018,9,199.2428571,119.8633333,25.66142857,13.28880714
Region 2,2019,9,45.85,129.7183333,30.633,12.08683333
Region 2,2020,9,102.1916667,124.502,26.431,12.28299231
Region 2,2021,9,209.98,129.4125,26.5728,13.61646
Region 2,2000,10,21.55333333,161.2433333,26.6232,9.928813333
Region 2,2001,10,14.84666667,172.7535714,25.77153333,9.035373333
Region 2,2002,10,49.2,123.27,25.2588,9.739593333
Region 2,2003,10,33.73571429,136.9428571,25.49035714,9.637978571
Region 2,2004,10,34.85333333,125.5761538,25.82626667,10.22945333
Region 2,2005,10,11.71333333,143.0508333,26.24142857,8.795921429
Region 2,2006,10,123.4466667,113.9257143,24.45686667,10.0592
Region 2,2007,10,10.74,143.8626667,26.3834,8.92564
Region 2,2008,10,9.193333333,133.1146667,25.407,8.98376
Region 2,2009,10,46.60666667,114.0992857,26.178,11.2039
Region 2,2010,10,2.18,146.79,25.92546667,6.997766667
Region 2,2011,10,27.22666667,142.4213333,25.94886667,8.563246667
